object_name,method,reconstruction_seed,trial_seed,placement_success,regrasp_success,conditional_regrasp_success,sequential_success,placement_margin_m,placement_tilt_deg,placement_tilt_limit_deg,predicted_grasp_width_m,actual_grasp_width_m,contact_error_m,antipodal_margin,failure_reason
003_cracker_box,single_view_depth,0,0,False,False,False,False,-0.07439651485114093,5.356529987558396,0.0,0.06295334019681112,0.06725035756050238,0.024490087880683017,0.9078014417619494,placement_unstable
003_cracker_box,single_view_depth,0,1,False,False,False,False,-0.07439651485114095,6.5550519185488065,0.0,0.06295334019681112,0.06792007069881466,0.024336245967325556,0.9048242236574169,placement_unstable
003_cracker_box,single_view_depth,0,2,False,False,False,False,-0.07439651485114096,3.097800656689588,0.0,0.06295334019681112,0.0673181055496363,0.02434201869707297,0.9123246337248322,placement_unstable
003_cracker_box,single_view_depth,0,3,False,False,False,False,-0.07439651485114095,1.1591849953711442,0.0,0.06295334019681112,0.06830349235638805,0.026050170016708587,0.9013620134021,placement_unstable
003_cracker_box,single_view_depth,0,4,False,False,False,False,-0.07439651485114096,3.7266023903895995,0.0,0.06295334019681112,0.06737226113678753,0.023554092380312367,0.9095882480079629,placement_unstable
003_cracker_box,single_view_depth,0,5,False,False,False,False,-0.07439651485114095,3.708587241231295,0.0,0.06295334019681112,0.06782890187134548,0.023491631488054453,0.902333640099763,placement_unstable
003_cracker_box,single_view_depth,0,6,False,False,False,False,-0.07439651485114095,5.005588511142475,0.0,0.06295334019681112,0.06721753187523077,0.02434886291188753,0.9121758049651595,placement_unstable
003_cracker_box,single_view_depth,0,7,False,False,False,False,-0.07439651485114095,0.8247031988536317,0.0,0.06295334019681112,0.06823723892834521,0.021160069416197396,0.8982897131558939,placement_unstable
003_cracker_box,single_view_depth,0,8,False,False,False,False,-0.07439651485114092,6.338324132515143,0.0,0.06295334019681112,0.06869062992292696,0.02396779504387458,0.8891652193120393,placement_unstable
003_cracker_box,single_view_depth,0,9,False,False,False,False,-0.07439651485114095,0.8342992223775622,0.0,0.06295334019681112,0.07057080201005898,0.02256237871088426,0.8730326408910962,placement_unstable
003_cracker_box,single_view_depth,1,100000,False,False,False,False,-0.02547128267064727,6.909549092643362,0.0,0.06816509243101752,0.07314637865914232,0.009108606428118777,0.8277672094103152,placement_unstable
003_cracker_box,single_view_depth,1,100001,False,False,False,False,-0.025471282670647265,4.4030929811527875,0.0,0.06816509243101752,0.07151753585636539,0.0025760432325256056,0.8570299705884846,placement_unstable
003_cracker_box,single_view_depth,1,100002,False,False,False,False,-0.025471282670647275,2.04546835176932,0.0,0.06816509243101752,0.07177037603356923,0.0027259475511690404,0.8445116544740212,placement_unstable
003_cracker_box,single_view_depth,1,100003,False,False,False,False,-0.02547128267064726,3.14301584594497,0.0,0.06816509243101752,0.0713332497481116,0.00347920833918065,0.8494775226585055,placement_unstable
003_cracker_box,single_view_depth,1,100004,False,False,False,False,-0.025471282670647268,4.646750216252139,0.0,0.06816509243101752,0.07278721385425461,0.0040712752788030155,0.7875133327023305,placement_unstable
