method,objects,reconstructed_meshes,trials,placement_success,placement_success_ci95,conditional_regrasp_success,conditional_regrasp_success_ci95,sequential_success,sequential_success_ci95
actnerf,10,30,300,0.56,"[0.3933333333333333, 0.7]",0.72,"[0.51, 0.9000833333333321]",0.4166666666666667,"[0.2566666666666667, 0.5666666666666667]"
fixed,10,30,300,0.5,"[0.3333333333333333, 0.6666666666666667]",0.44,"[0.2733333333333333, 0.6133333333333333]",0.24,"[0.12, 0.3666666666666667]"
pb_nbv,10,30,300,0.43333333333333335,"[0.2, 0.6666666666666666]",0.4,"[0.21991666666666668, 0.5866666666666667]",0.23,"[0.06666666666666667, 0.4166666666666667]"
pose_novelty,10,30,300,0.5666666666666667,"[0.3333333333333333, 0.7666666666666667]",0.7933333333333333,"[0.5800000000000001, 0.9566666666666667]",0.44666666666666666,"[0.21333333333333332, 0.6833333333333333]"
ray_gpis,10,30,300,0.5766666666666667,"[0.41, 0.73]",0.7766666666666666,"[0.5733333333333334, 0.93]",0.45,"[0.25991666666666663, 0.65]"
single_view_depth,10,30,300,0.39666666666666667,"[0.23325, 0.5333333333333334]",0.2,"[0.04666666666666667, 0.36]",0.06666666666666667,"[0.0, 0.16666666666666666]"
spar3d,10,30,300,0.3,"[0.16666666666666666, 0.4333333333333333]",0.15,"[0.06666666666666667, 0.2367499999999988]",0.05,"[0.0, 0.10333333333333335]"
trellis2,10,30,300,0.19666666666666666,"[0.06333333333333332, 0.36333333333333334]",0.07666666666666666,"[0.0, 0.18666666666666668]",0.0,"[0.0, 0.0]"
