planner,object,initial_pose_seed,planner_seed,step,recall@5,f@5,surface_coverage,visibility_surface_coverage,chamfer_mm
pose_novelty,green_Pepper,8,0,0,0.17653333333333332,0.30009066183136895,0.17653333333333332,0.025331942046531053,24.660143910978903
pose_novelty,green_Pepper,8,0,1,0.20856666666666668,0.29911924274436447,0.20856666666666668,0.049746227054374155,27.502677994641747
pose_novelty,green_Pepper,8,0,2,0.4012,0.5012129617399727,0.4012,0.0753927850135384,18.012081529026737
pose_novelty,green_Pepper,8,0,3,0.6034333333333334,0.6683385233083283,0.6034333333333334,0.10069455470832973,11.313292205335511
pose_novelty,green_Pepper,8,0,4,0.6091333333333333,0.621223258270021,0.6091333333333333,0.12585721501071162,11.868276224728382
pose_novelty,green_Pepper,8,0,5,0.7749333333333334,0.7273799209639918,0.7749333333333334,0.14858284547872644,9.16832344775999
pose_novelty,green_Pepper,13,0,0,0.24973333333333333,0.3996585938333511,0.24973333333333333,0.025173419059472523,21.987050723367314
pose_novelty,green_Pepper,13,0,1,0.38903333333333334,0.5601497444265796,0.38903333333333334,0.051244515649817045,15.560831558971197
pose_novelty,green_Pepper,13,0,2,0.42336666666666667,0.5948806819512423,0.42336666666666667,0.07485915127810623,13.8089333852315
pose_novelty,green_Pepper,13,0,3,0.6224666666666666,0.7662060022501413,0.6224666666666666,0.098515246888556,7.437933130462223
pose_novelty,green_Pepper,13,0,4,0.7192333333333333,0.8356000727525134,0.7192333333333333,0.12084770544906119,5.753715145173672
pose_novelty,green_Pepper,13,0,5,0.8210666666666666,0.8990509598203206,0.8210666666666666,0.14381120009398485,4.947767276321062
pose_novelty,green_Pepper,4,0,0,0.26153333333333334,0.41462770173862495,0.26153333333333334,0.025980856380777725,19.402332364458942
pose_novelty,green_Pepper,4,0,1,0.4241,0.5927684548830429,0.4241,0.051001357425053837,13.343502845523403
pose_novelty,green_Pepper,4,0,2,0.5377666666666666,0.6965214353938444,0.5377666666666666,0.07475464765125174,10.325070172719515
pose_novelty,green_Pepper,4,0,3,0.7902333333333333,0.879631461233458,0.7902333333333333,0.10153853902094938,5.252978175054925
pose_novelty,green_Pepper,4,0,4,0.7935666666666666,0.882247994437719,0.7935666666666666,0.124538396068946,5.11060516617208
pose_novelty,green_Pepper,4,0,5,0.7955333333333333,0.8838043513026769,0.7955333333333333,0.14607896635767187,5.017446240206714
pose_novelty,green_Pepper,1,0,0,0.25533333333333336,0.4067976633032395,0.25533333333333336,0.026098971174773278,18.578227511008286
pose_novelty,green_Pepper,1,0,1,0.26653333333333334,0.4196928751285598,0.26653333333333334,0.04927147505143261,18.364398493245886
pose_novelty,green_Pepper,1,0,2,0.4565,0.625264756644805,0.4565,0.07382515787281377,12.367175845055499
pose_novelty,green_Pepper,1,0,3,0.4586,0.6264419733776833,0.4586,0.09646805326895415,12.526723783444238
pose_novelty,green_Pepper,1,0,4,0.5953,0.7433024187227587,0.5953,0.11890104639562955,8.458785765203018
pose_novelty,green_Pepper,1,0,5,0.7209333333333333,0.8345845859512677,0.7209333333333333,0.14187197243990926,5.94212093371093
pose_novelty,green_Pepper,12,0,0,0.22476666666666667,0.3670358979941758,0.22476666666666667,0.026339008079423288,22.10629933507831
pose_novelty,green_Pepper,12,0,1,0.4429,0.6139025573497817,0.4429,0.05164083170070452,13.078188736636305
pose_novelty,green_Pepper,12,0,2,0.4911,0.658708336127691,0.4911,0.07598082084084819,11.637399029935885
