planner,object,initial_pose_seed,planner_seeds,final_recall@5,final_f@5,final_chamfer_mm,final_visibility_coverage,visibility_coverage_auc,recall@5_auc,f@5_auc,cumulative_active_gain_f@5,unseen_surface_discovery_ratio,unique_visibility_gain_per_action,selected_gain_f@5_per_action,oracle_gain_f@5_per_action,score_gain_correlation,correlation_valid_rate,oracle_regret_f@5,oracle_action_accuracy,zero_unique_gain_action_rate,consecutive_score_map_correlation,action_repetition_rate,representation_update_s,candidate_scoring_s,planning_time_s
pose_novelty,Bowl,0,1,0.5537,0.7041673074602876,6.824353429992272,0.3911509873125148,0.2515591272741772,0.37798000000000004,0.5287098834567666,0.3334952097006134,0.3173933777311898,0.05661962200802715,0.06669904194012269,0.07896531506857606,-0.2,1.0,0.012266273128453376,0.2,0.0,0.7249350816024738,1.0,2.8608000138774515e-05,0.00029181380232330413,0.00032042180246207865
pose_novelty,Bowl,1,1,0.7373,0.8165165674928911,6.254594459561438,0.45963581395939485,0.30534688502349383,0.49806333333333336,0.6076457852378223,0.5142133588459554,0.39312505670837794,0.07000806463624579,0.10284267176919108,0.10709108434225068,0.3,1.0,0.00424841257305959,0.6,0.0,0.2538560702461295,0.75,2.120600256603211e-05,0.0001985117996810004,0.00021971780224703253
pose_novelty,Bowl,2,1,0.8374666666666667,0.9109041938621827,5.24035535002623,0.4633143573574271,0.31163713717547326,0.5523,0.6846648849385268,0.5647079424840129,0.3879250535721399,0.06802886080816131,0.11294158849680258,0.1261859185706966,0.5,1.0,0.013244330073894018,0.6,0.0,0.3606733758797348,0.75,1.9463401986286045e-05,0.00028015119896735997,0.000299614600953646
pose_novelty,Bowl,3,1,0.6793666666666667,0.7669215263687406,6.725358187886898,0.4867546334743795,0.3108405095463899,0.4290266666666668,0.5395808969306978,0.6401252993373768,0.4456707066728916,0.08252799480365278,0.12802505986747537,0.14060426409734916,0.3,1.0,0.012579204229873797,0.4,0.0,0.12104326842362573,0.75,2.192819956690073e-05,0.00024369200400542468,0.0002656202035723254
pose_novelty,Bowl,4,1,0.8523,0.8523492591454961,5.7808200092048265,0.5298106508671906,0.3339842877543338,0.5929133333333334,0.6984010766331148,0.41293916212882376,0.4628482954988943,0.08102974894587062,0.08258783242576476,0.09422043398712769,0.2,1.0,0.011632601561362943,0.6,0.0,0.34391432311873066,1.0,1.8870600615628064e-05,0.00021338719525374473,0.00023225779586937277
pose_novelty,Bowl,5,1,0.7340333333333333,0.8455366571688238,5.585086926922951,0.46982027633455353,0.2896495750454003,0.47719666666666666,0.6291737275173833,0.5901284226956904,0.3940737924076223,0.06896217121640671,0.11802568453913809,0.1192103929821819,0.5,1.0,0.0011847084430437916,0.8,0.0,0.6124085459925332,1.0,2.255939762108028e-05,0.0001991965953493491,0.00022175599297042937
pose_novelty,Bowl,6,1,0.7605,0.8628514229719619,5.394780964427524,0.5042611445023184,0.3126698955456843,0.46123666666666663,0.603025027489825,0.6248624649078247,0.45312003126119105,0.08214936312936337,0.12497249298156494,0.12722535404886898,0.8,1.0,0.002252861067304024,0.8,0.0,0.2930135030795632,1.0,2.0445199334062635e-05,0.00026562959246803077,0.0002860747918020934
pose_novelty,Bowl,7,1,0.7141666666666666,0.8327274437831028,5.885680105673495,0.45665912123089686,0.29684724250846245,0.4854366666666666,0.640679738081072,0.5016061155246281,0.3828800761467221,0.06742105999034376,0.10032122310492561,0.1027991797100726,0.8,1.0,0.00247795660514698,0.8,0.0,0.43369223573242155,1.0,2.023139677476138e-05,0.00020058219670318067,0.00022081359347794204
pose_novelty,Bowl,8,1,0.6738333333333333,0.8010915508233307,5.75064241004403,0.4761489725800311,0.29756754670304886,0.4531066666666666,0.6084645843349765,0.4291815299295093,0.40215020178773836,0.07047482394862634,0.08583630598590186,0.08583630598590186,0.6,1.0,0.0,1.0,0.0,0.5120921358989073,1.0,1.9798401626758278e-05,0.0002347216010093689,0.00025452000263612715
pose_novelty,Bowl,9,1,0.6458666666666667,0.7821502244073472,6.616835774171528,0.3930164334693078,0.28538075725431644,0.43088333333333334,0.5825251204943008,0.47668235495421607,0.30567193886146926,0.0534438557284431,0.09533647099084322,0.13569415465985385,0.0,1.0,0.04035768366901066,0.4,0.0,0.5981302153984707,1.0,2.2741599241271616e-05,0.00029348700190894305,0.00031622860115021467
