planner,object,initial_pose_seed,planner_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
pose_novelty,Bowl,0,0,0.26171875,0.1484375,34.287527854589,73.04452576552724
pose_novelty,Bowl,1,0,0.328125,0.19609375,54.34420825618788,91.63808684126434
pose_novelty,Bowl,2,0,0.32421875,0.20390625,49.48574991442161,98.07594495562428
pose_novelty,Bowl,3,0,0.359375,0.22265625,66.06672509085254,98.57402223506713
pose_novelty,Bowl,4,0,0.3515625,0.218359375,55.32326255174944,98.37289639788584
pose_novelty,Bowl,5,0,0.34375,0.204296875,53.57789442311848,91.41725865557585
pose_novelty,Bowl,6,0,0.33984375,0.211328125,55.8971109984868,100.45024632983126
pose_novelty,Bowl,7,0,0.359375,0.2046875,53.0825658972567,91.89553974544653
pose_novelty,Bowl,8,0,0.31640625,0.178125,48.30779701659265,84.9521157671953
pose_novelty,Bowl,9,0,0.22265625,0.173828125,27.901393661572847,58.31836154717208
pose_novelty,Bowl,10,0,0.31640625,0.1765625,53.777752119166315,95.67268087116096
pose_novelty,Bowl,11,0,0.33203125,0.221875,56.40325656781728,100.61786679742204
pose_novelty,Bowl,12,0,0.296875,0.1671875,54.231431683881205,95.51488555554066
pose_novelty,Bowl,13,0,0.35546875,0.225,53.46977827999076,87.27967756155257
pose_novelty,Bowl,14,0,0.2890625,0.1859375,42.4591569904258,82.11560897146002
pose_novelty,Corner,0,0,0.30859375,0.215234375,40.013388187690175,75.90351131840346
pose_novelty,Corner,1,0,0.34375,0.199609375,50.480320631023844,95.43582581308974
pose_novelty,Corner,2,0,0.37890625,0.23203125,58.44884268632743,98.14974159980362
pose_novelty,Corner,3,0,0.2734375,0.1859375,43.64456560936816,88.7026648849333
pose_novelty,Corner,4,0,0.359375,0.22265625,54.808862843466635,83.0406986084101
pose_novelty,Corner,5,0,0.3359375,0.216015625,65.0823318410524,96.35323300859332
pose_novelty,Corner,6,0,0.32421875,0.202734375,57.3703620916649,103.0937267300009
pose_novelty,Corner,7,0,0.27734375,0.180859375,41.89103059499118,99.21122177028428
pose_novelty,Corner,8,0,0.36328125,0.2140625,49.67169009629731,96.8842181042294
pose_novelty,Corner,9,0,0.328125,0.21484375,49.90367610470677,104.61373307944415
pose_novelty,Corner,10,0,0.26953125,0.1625,40.8819739046862,89.05366618594243
pose_novelty,Corner,11,0,0.30859375,0.180859375,44.19898636595288,92.07218679471431
pose_novelty,Corner,12,0,0.265625,0.184375,43.172116361278356,85.5626998115732
pose_novelty,Corner,13,0,0.328125,0.21796875,58.09328137658851,95.00015801914046
pose_novelty,Corner,14,0,0.3671875,0.215234375,52.146308616718215,91.77521085449628
pose_novelty,Cross,0,0,0.33203125,0.181640625,50.578591789593176,99.1272136301387
pose_novelty,Cross,1,0,0.39453125,0.233203125,64.9352721972301,102.57560551141984
pose_novelty,Cross,2,0,0.30859375,0.178515625,57.53335871714605,94.13687473344748
pose_novelty,Cross,3,0,0.36328125,0.222265625,58.88263577526832,92.60488134539784
pose_novelty,Cross,4,0,0.359375,0.21875,67.48694069564456,100.48438509047922
pose_novelty,Cross,5,0,0.2890625,0.205078125,58.332615454190716,94.10616870147591
pose_novelty,Cross,6,0,0.29296875,0.21015625,41.3103243183884,89.39217776092148
pose_novelty,Cross,7,0,0.34375,0.212109375,51.39459186523718,73.27103235891792
pose_novelty,Cross,8,0,0.3671875,0.220703125,59.737451532124034,100.21439198889915
pose_novelty,Cross,9,0,0.375,0.223046875,64.5687695797985,102.35654946599571
pose_novelty,Cross,10,0,0.35546875,0.191796875,56.02602172362166,97.83707179985885
pose_novelty,Cross,11,0,0.34375,0.197265625,53.973121012112586,92.38825605189413
pose_novelty,Cross,12,0,0.375,0.23203125,59.867959538726495,98.95889034515237
pose_novelty,Cross,13,0,0.328125,0.2078125,50.75590618218345,95.09934797574927
pose_novelty,Cross,14,0,0.3046875,0.17734375,49.427989288824506,83.71314855841345
pose_novelty,Cube,0,0,0.3671875,0.212890625,53.78289275619354,94.59032906944216
pose_novelty,Cube,1,0,0.26953125,0.159765625,35.27381882545494,71.99970164353371
pose_novelty,Cube,2,0,0.3671875,0.20625,58.295692101193175,101.89096815337201
pose_novelty,Cube,3,0,0.3359375,0.208984375,57.12860672566442,100.3442925491641
pose_novelty,Cube,4,0,0.3203125,0.223828125,61.909463536034664,96.19545623337642
pose_novelty,Cube,5,0,0.3046875,0.176953125,42.82954030888794,77.30182513966174
pose_novelty,Cube,6,0,0.296875,0.19375,53.53397120230902,96.48237870355055
pose_novelty,Cube,7,0,0.328125,0.198046875,47.74522888036263,83.46712225324585
pose_novelty,Cube,8,0,0.328125,0.194921875,48.69420523415238,76.68175616187676
pose_novelty,Cube,9,0,0.32421875,0.209765625,54.87809272350843,101.96773903599782
pose_novelty,Cube,10,0,0.29296875,0.152734375,45.71996902963487,95.09347644714231
pose_novelty,Cube,11,0,0.27734375,0.165234375,48.3118052834411,87.01994993779854
pose_novelty,Cube,12,0,0.3046875,0.205859375,57.32777654011066,84.79762946990368
pose_novelty,Cube,13,0,0.33984375,0.220703125,66.86810717858573,99.20209511671494
pose_novelty,Cube,14,0,0.34765625,0.19921875,65.45121322971235,96.5446312172182
pose_novelty,Cylinder,0,0,0.34765625,0.2265625,56.39775730520432,77.97632732205486
pose_novelty,Cylinder,1,0,0.3046875,0.1984375,46.431610280006296,82.04427761032157
pose_novelty,Cylinder,2,0,0.33203125,0.215234375,51.33287990144147,100.49829723516369
pose_novelty,Cylinder,3,0,0.3203125,0.199609375,47.6811680580925,93.5409500835853
