planner,paired_scenes,representation_update_s,representation_update_s_ci95,representation_update_s_n,candidate_scoring_s,candidate_scoring_s_ci95,candidate_scoring_s_n,planning_time_s,planning_time_s_ci95,planning_time_s_n
pose_novelty,120,2.1523715089036464e-05,6.12663706496727e-07,120,0.00024865197992767206,9.802086632495633e-06,120,0.0002701756950167085,9.964467200176163e-06,120
ray_gpis,120,0.14096368822856067,0.015893415821302954,120,6.711081841785927e-05,7.816009336371273e-07,120,0.14103079904697854,0.015893298086359357,120
