planner,object,initial_pose_seed,mean_visibility_ratio,mean_pose_error_deg,mean_translation_error_mm,mean_action_execution_error_deg
pose_novelty,Bowl,0,0.528241869261722,4.435163251928263,1.897784863207726,83.25030547097155
pose_novelty,Bowl,1,0.5891730646414625,8.398022614246312,3.7263562434014172,46.09006042133344
pose_novelty,Bowl,2,0.5258665455764487,5.350682555947572,3.117722829322212,59.05010673284168
pose_novelty,Bowl,3,0.521248484367855,7.677359349609659,5.840263425462827,39.96468583877713
pose_novelty,Bowl,4,0.6002612679044891,8.940498334745245,6.833339984936814,59.209546662979925
pose_novelty,Bowl,5,0.5326721510163784,6.1584889763762405,2.5736544825816257,64.62549525002771
pose_novelty,Bowl,6,0.5610281801409682,6.066287976438139,2.8833954117114535,63.68260395415363
pose_novelty,Bowl,7,0.5437089807575204,6.115167556624621,2.8169082818030873,60.8915811600276
pose_novelty,Bowl,8,0.6320466934118428,4.557505424235838,3.8325734081083236,70.70628567041277
pose_novelty,Bowl,9,0.5672547575836276,6.1450953458768725,3.80674163800566,86.3173694768878
pose_novelty,Bowl,10,0.5862647160084414,5.009916744536898,2.6134184908083875,59.024099234319145
pose_novelty,Bowl,11,0.4601885301126796,11.285549718034924,6.644154156420178,47.367228870911646
pose_novelty,Bowl,12,0.6561431149962302,6.073866745474717,2.2690673745039835,54.958943221008575
pose_novelty,Bowl,13,0.48460308618732056,6.002250914536695,5.206896969028855,40.36651258438238
pose_novelty,Bowl,14,0.5731176446852319,6.023691689442845,2.8816587554109745,72.6776604229062
pose_novelty,Corner,0,0.5188594082604734,5.671418426445716,2.6846250892523162,66.72837668858986
pose_novelty,Corner,1,0.5799293054592788,9.11664950526201,4.622207970417873,65.36004295433554
pose_novelty,Corner,2,0.540089883893457,6.143548047081789,3.5844186670154223,54.80225037494315
pose_novelty,Corner,3,0.6593826408690734,4.254194328242723,2.512835790174979,69.53880602797942
pose_novelty,Corner,4,0.5736449504161788,12.77709080691073,6.476928505720773,53.74517482006398
pose_novelty,Corner,5,0.5660986764411471,10.19557005921978,4.169674352671415,35.81714116171692
pose_novelty,Corner,6,0.6630024333640755,5.77470022175212,2.784474062497286,47.79889071979375
pose_novelty,Corner,7,0.5319145345144726,5.131961829813549,1.3760888632036936,75.969666675111
pose_novelty,Corner,8,0.6296228135848049,7.258959545009727,2.878862730231809,60.771782225373805
pose_novelty,Corner,9,0.5700364468278106,4.013249321670705,2.906265309677569,51.06895512993948
pose_novelty,Corner,10,0.5837208779097299,4.159304922584862,2.6932541887769634,75.06877097575796
pose_novelty,Corner,11,0.5824079571931233,4.12054451503819,2.198891991790394,73.92375496741758
pose_novelty,Corner,12,0.5818849445978035,5.057653750757353,2.2762542706504525,75.34518087396016
pose_novelty,Corner,13,0.6654554868697137,6.159299275851493,4.06578332823531,33.99914882267343
pose_novelty,Corner,14,0.5336910728621614,5.209065397405891,5.465042491471668,74.72923069017466
pose_novelty,Cross,0,0.5734054821495427,6.537091457567146,2.610836196512761,62.82146995444633
pose_novelty,Cross,1,0.5172398693041961,6.699349734112745,4.951662238514646,50.732421675810265
pose_novelty,Cross,2,0.6222711747064004,9.401717241709726,4.218293629449354,69.88660422693968
pose_novelty,Cross,3,0.456767374716699,5.64349734966905,2.571281251182549,55.56872012676301
pose_novelty,Cross,4,0.5993766566425803,13.408374736760623,8.301309695361942,52.33909409963066
pose_novelty,Cross,5,0.5809532202859323,5.104125410742208,1.8628007575726306,33.66768031103764
pose_novelty,Cross,6,0.5681938889680246,5.832813399933386,2.2606692444648178,70.6421349974976
pose_novelty,Cross,7,0.520024118256763,6.355626379091336,4.515057740436538,62.01112714644129
pose_novelty,Cross,8,0.5515007900785854,10.297115120756176,3.966139079235961,50.85539852347962
pose_novelty,Cross,9,0.5708446400681094,5.009904758629064,3.483209796528639,52.02475997555062
pose_novelty,Cross,10,0.6043730381467064,4.06075474171044,2.3793087865950193,70.86387457614735
pose_novelty,Cross,11,0.5416359207765512,10.996272617808096,4.678889166555147,67.50076979539706
pose_novelty,Cross,12,0.556449677289671,10.446011978178971,4.612240128946172,30.80374363730536
pose_novelty,Cross,13,0.5233949282902984,5.126381139502944,2.0062579089781285,53.996109713057976
pose_novelty,Cross,14,0.5983031946301269,5.796019412732375,2.4211259535134815,65.04189400524456
pose_novelty,Cube,0,0.6096024564802556,5.210321609962471,2.142854853692091,58.60022566380661
pose_novelty,Cube,1,0.5749186673107257,4.1152823855078395,2.7239180671294467,76.6613430623527
pose_novelty,Cube,2,0.5614760468052561,5.736344443297839,2.661887674336859,59.2289356359467
pose_novelty,Cube,3,0.6270760606122211,8.687993755451442,4.365252309649971,44.97072718177729
pose_novelty,Cube,4,0.5353122254101653,5.910741820269963,4.8659871373494985,28.031142859507025
pose_novelty,Cube,5,0.6017321714528873,5.425037621326436,2.821846795700013,74.30289966815218
