planner,object,scenes,f@5_auc,recall@5_auc,final_f@5,visibility_coverage_auc,score_gain_correlation,oracle_regret_f@5,consecutive_score_map_correlation
ray_gpis,Bowl,15,0.5961191169977463,0.45370822222222223,0.7700573438931146,0.2705482366051353,0.2,0.020645793560381362,0.8069898808364796
ray_gpis,Corner,15,0.6812901411973157,0.5483137777777779,0.8618576776442486,0.047353737800769284,0.5866666666666666,0.0038132609183159946,0.6894322262866228
ray_gpis,Cross,15,0.6584089042654926,0.5286095555555556,0.8459213723264202,0.07699430899929224,0.4666666666666667,0.0072110223543405735,0.6591259784680858
ray_gpis,Cube,15,0.6387119416840451,0.5100044444444444,0.8335687097410555,0.0878823643802392,0.3266666666666666,0.013753276640296238,0.6473508233800757
ray_gpis,Cylinder,15,0.6305112872234608,0.49939888888888895,0.8538851428409368,0.15194386597614798,0.44000000000000006,0.009158556252197945,0.7454642007014949
ray_gpis,L_Shaped,15,0.6170921460673604,0.48317244444444446,0.8114704013620689,0.08671601479255794,0.32845299461620747,0.01599294213761503,0.7302894203176012
ray_gpis,Thin_Irregular,15,0.6059223673123227,0.49630888888888886,0.8174056041622447,0.7806668631781336,0.5133333333333333,0.007010944884239964,0.6897191678108155
ray_gpis,green_Pepper,15,0.6581627140060761,0.5335862222222223,0.8617067795879478,0.08679870386387062,0.4666666666666667,0.008473206501813152,0.6548639791729403
ray_gpis_hit_only,Bowl,15,0.5868811602065526,0.4432402222222222,0.7563982834899589,0.2656736349271718,0.11999999999999997,0.02509223041191502,0.6079703896503053
ray_gpis_hit_only,Corner,15,0.6623169608491607,0.5252971111111112,0.8365942894478092,0.04680360671221657,0.46,0.011733639199532719,0.5710374701391046
ray_gpis_hit_only,Cross,15,0.6440446409071936,0.5117626666666667,0.8375375442628825,0.0764345899508513,0.46000000000000013,0.01198397541082166,0.5613988429145306
ray_gpis_hit_only,Cube,15,0.6316722635993808,0.5021297777777778,0.8178358551260232,0.08745461550255176,0.26,0.01807214511942869,0.48969898889085933
ray_gpis_hit_only,Cylinder,15,0.6025300178552355,0.46694733333333344,0.8098760222708403,0.1477893529719112,0.38666666666666666,0.02078069873445439,0.571301228171455
ray_gpis_hit_only,L_Shaped,15,0.6027142879618902,0.4636915555555557,0.7918205281847214,0.08534131504667694,0.22178632794954078,0.023614967891295236,0.5688271798250032
ray_gpis_hit_only,Thin_Irregular,15,0.5789591707277546,0.4628188888888889,0.7772304135039892,0.7213055634206216,0.42666666666666664,0.016136058437965513,0.5353577204009365
ray_gpis_hit_only,green_Pepper,15,0.6501458793725434,0.5236786666666666,0.84542157570312,0.08630602765829068,0.47333333333333333,0.011975355069302368,0.47580711644585616
ray_gpis_novelty_only,Bowl,15,0.5800706557612894,0.4377437777777778,0.7630814844678792,0.2649560281509256,0.2111111111111111,0.025212194124232843,0.6973144355250097
ray_gpis_novelty_only,Corner,15,0.6560310551096386,0.5170782222222222,0.827646016457949,0.04662546742890928,0.5933333333333333,0.010695459238424274,0.5297024084276508
ray_gpis_novelty_only,Cross,15,0.6135403876528108,0.4760297777777778,0.8076302482108553,0.0753063912352377,0.3547619047619048,0.02379545958057789,0.4432637063211799
ray_gpis_novelty_only,Cube,15,0.6388518727892586,0.512303111111111,0.8295356555848328,0.08782436219493549,0.4011111111111111,0.012633502256221467,0.47040398421798785
ray_gpis_novelty_only,Cylinder,15,0.6108001074710169,0.4770993333333334,0.8329517290786473,0.14976705688517775,0.3964285714285714,0.016195578793698553,0.536166162427431
ray_gpis_novelty_only,L_Shaped,15,0.5856424395886388,0.4461644444444444,0.7695379883365813,0.08501842076506502,0.2654761904761905,0.026249706659920206,0.46793907847257993
ray_gpis_novelty_only,Thin_Irregular,15,0.5936808386700593,0.47916955555555557,0.8021061884509736,0.7602430918340396,0.5166666666666668,0.010730711477800334,0.5814699295126473
ray_gpis_novelty_only,green_Pepper,15,0.6339533836051411,0.5032648888888889,0.8326756565469638,0.08617572521463328,0.4845238095238095,0.018236462957710774,0.4295045160919147
ray_gpis_pointwise,Bowl,15,0.5932671653587112,0.4508022222222222,0.7733444543941261,0.2699741372645999,0.2066666666666667,0.02143156334416895,0.6389040973863012
ray_gpis_pointwise,Corner,15,0.6812901411973157,0.5483137777777779,0.8618576776442486,0.047353737800769284,0.56,0.0038132609183159946,0.5361055814817703
ray_gpis_pointwise,Cross,15,0.6584089042654926,0.5286095555555556,0.8459213723264202,0.07699430899929224,0.4466666666666666,0.0072110223543405735,0.5018311470370679
ray_gpis_pointwise,Cube,15,0.6393181099702423,0.5108468888888889,0.8323827559270082,0.088002268516203,0.28,0.014147650295293945,0.4902177413126475
ray_gpis_pointwise,Cylinder,15,0.6293350142444365,0.49748933333333334,0.8514873965755952,0.15181533929452268,0.42666666666666675,0.009985155913194162,0.5786961288575905
ray_gpis_pointwise,L_Shaped,15,0.6255370115480497,0.4950313333333333,0.8217438639466895,0.087305441863549,0.38666666666666666,0.014890556688171536,0.5824000041842292
ray_gpis_pointwise,Thin_Irregular,15,0.6065158578345795,0.4972793333333333,0.8233405093848098,0.7806692566654366,0.5133333333333333,0.00582396383972694,0.47902664892858354
ray_gpis_pointwise,green_Pepper,15,0.6579368029835128,0.5332166666666667,0.8605297262480579,0.08677846672778913,0.4533333333333333,0.008551121190223887,0.4748210302466071
ray_gpis_uncertainty_only,Bowl,15,0.5821545703124236,0.4391184444444445,0.7583855619545687,0.2661090727780196,0.13176495252013323,0.025310881469448796,0.8504891733257824
ray_gpis_uncertainty_only,Corner,15,0.6684925998231794,0.5342091111111112,0.848312257500479,0.04710773810372059,0.5456217782649108,0.0068773159929956034,0.7848978368778956
ray_gpis_uncertainty_only,Cross,15,0.6582414471879628,0.5283491111111112,0.844246801551123,0.07695688752935159,0.43118802153517005,0.007545936509400006,0.7765545615920064
ray_gpis_uncertainty_only,Cube,15,0.63859972177857,0.5098584444444444,0.8347982508827769,0.0877563587086335,0.3595213548685034,0.013464495739176702,0.7569466692535761
ray_gpis_uncertainty_only,Cylinder,15,0.6294007908821497,0.4978762222222223,0.8437632840449061,0.15202321834305613,0.4274957043532144,0.010714501223210977,0.8042680732797048
ray_gpis_uncertainty_only,L_Shaped,15,0.616839218044904,0.48565577777777785,0.8092383374104386,0.08689048150777781,0.2977350269189626,0.01393596097050021,0.8073936261766993
ray_gpis_uncertainty_only,Thin_Irregular,15,0.6055390767452203,0.4958062222222222,0.8130526527799756,0.7797011010454109,0.47464101615137755,0.007906637534120499,0.7814099622516012
