planner,object,initial_pose_seed,planner_seeds,final_recall@5,final_f@5,final_chamfer_mm,final_visibility_coverage,visibility_coverage_auc,recall@5_auc,f@5_auc,cumulative_active_gain_f@5,unseen_surface_discovery_ratio,unique_visibility_gain_per_action,selected_gain_f@5_per_action,oracle_gain_f@5_per_action,score_gain_correlation,correlation_valid_rate,oracle_regret_f@5,oracle_action_accuracy,zero_unique_gain_action_rate,consecutive_score_map_correlation,action_repetition_rate,representation_update_s,candidate_scoring_s,planning_time_s
ray_gpis,Bowl,0,1,0.5537,0.7041673074602876,6.824353429992272,0.3911509873125148,0.2515591272741772,0.37798000000000004,0.5287098834567666,0.3334952097006134,0.3173933777311898,0.05661962200802715,0.06669904194012269,0.07896531506857606,0.0,1.0,0.012266273128453376,0.2,0.0,0.8878050612268251,1.0,0.11616897960193455,6.794760120101273e-05,0.11623692720313557
ray_gpis,Bowl,1,1,0.5543,0.6866486212468427,7.705897562968416,0.28855396430098273,0.2273378524897161,0.42513666666666666,0.5536971247973528,0.38434541259990695,0.20098558763950658,0.03579169470456335,0.0768690825199814,0.09591742668311165,-0.1,1.0,0.01904834416313026,0.4,0.0,0.7198649218928815,0.75,0.11472812760330271,6.471440137829631e-05,0.11479284200468101
ray_gpis,Bowl,2,1,0.7524333333333333,0.8587297662298138,5.465466488694966,0.41885923165332006,0.30315763516463107,0.5244766666666667,0.666691631815913,0.512533514851644,0.3372252275998871,0.0591378356673399,0.1025067029703288,0.11579168956535582,0.3,1.0,0.013284986595027004,0.4,0.0,0.8342705710688945,0.5,0.11561498779628891,6.525720236822962e-05,0.11568024499865714
ray_gpis,Bowl,3,1,0.6478333333333334,0.7548997847460083,7.2035095415410835,0.3509017067093751,0.24793000106105456,0.41753999999999997,0.5335739974241334,0.6281035577146445,0.29894311437166615,0.055357409450651894,0.12562071154292892,0.14409185467752517,0.5,1.0,0.018471143134596257,0.6,0.0,0.8307889287886718,0.5,0.10783060620015021,6.563040078617632e-05,0.10789623660093639
ray_gpis,Bowl,4,1,0.8523,0.8523492591454961,5.7808200092048265,0.5298106508671906,0.3339842877543338,0.5929133333333334,0.6984010766331148,0.41293916212882376,0.4628482954988943,0.08102974894587062,0.08258783242576476,0.09422043398712769,0.6,1.0,0.011632601561362943,0.6,0.0,0.7513795705539024,1.0,0.11111781300278381,5.8457598788663746e-05,0.11117627060157247
ray_gpis,Bowl,5,1,0.7340333333333333,0.8455366571688238,5.585086926922951,0.46982027633455353,0.2896495750454003,0.47719666666666666,0.6291737275173833,0.5901284226956904,0.3940737924076223,0.06896217121640671,0.11802568453913809,0.1192103929821819,0.6,1.0,0.0011847084430437916,0.8,0.0,0.7195233820668343,1.0,0.12366785400372464,6.837680120952427e-05,0.12373623080493416
ray_gpis,Bowl,6,1,0.7089666666666666,0.8280506318025617,5.839306374754266,0.4122887040763033,0.2888428127068708,0.42164999999999997,0.5711375447053249,0.5900616737384244,0.35165958532839015,0.06375487504416036,0.11801233474768488,0.14411747326422825,0.1,1.0,0.02610513851654337,0.4,0.0,0.7856690842049022,0.25,0.10536071859824006,6.601880013477058e-05,0.10542673739837483
ray_gpis,Bowl,7,1,0.6143666666666666,0.7590278673925798,7.065405436631386,0.30099526161530116,0.2049764986818537,0.4286033333333334,0.5887143702319508,0.42790653913410504,0.20607896850632573,0.03628828806722462,0.08558130782682101,0.11053455709775953,-0.1,1.0,0.024953249270938515,0.2,0.0,0.8410584515907529,1.0,0.11952480579784605,6.48179993731901e-05,0.11958962379721924
ray_gpis,Bowl,8,1,0.6738333333333333,0.8010915508233307,5.75064241004403,0.4761489725800311,0.29756754670304886,0.4531066666666666,0.6084645843349765,0.4291815299295093,0.40215020178773836,0.07047482394862634,0.08583630598590186,0.08583630598590186,0.7,1.0,0.0,1.0,0.0,0.8704088821812771,1.0,0.12153418779780623,6.661600200459361e-05,0.12160080379981082
ray_gpis,Bowl,9,1,0.6551,0.7868292232459476,6.498933460885855,0.3936742670187679,0.2860233126490509,0.4213333333333333,0.5745615185088346,0.4813613537928165,0.3064244341811682,0.05357542243833513,0.0962722707585633,0.14245964455633933,0.3,1.0,0.04618737379777603,0.4,0.0,0.8044004992561226,0.75,0.12234149840078316,6.26989989541471e-05,0.12240419739973732
