planner,paired_scenes,mean_action_so3_error_deg,mean_action_so3_error_deg_ci95,mean_action_so3_error_deg_n,mean_nominal_target_view_error_deg,mean_nominal_target_view_error_deg_ci95,mean_nominal_target_view_error_deg_n,stall_action_rate,stall_action_rate_ci95,stall_action_rate_n,slip_action_rate,slip_action_rate_ci95,slip_action_rate_n,persistent_misalignment_action_rate,persistent_misalignment_action_rate_ci95,persistent_misalignment_action_rate_n,episode_stall_or_slip_rate,episode_stall_or_slip_rate_ci95,episode_stall_or_slip_rate_n,fault_action_gain_f@5,fault_action_gain_f@5_ci95,fault_action_gain_f@5_n,fault_action_regret_f@5,fault_action_regret_f@5_ci95,fault_action_regret_f@5_n,post_fault_next_gain_f@5,post_fault_next_gain_f@5_ci95,post_fault_next_gain_f@5_n,post_fault_next_regret_f@5,post_fault_next_regret_f@5_ci95,post_fault_next_regret_f@5_n,fault_actions,post_fault_decisions
ray_gpis_novelty_only,120,54.1467123135582,2.2917465026340698,120,45.25562218097086,2.8190618060144033,120,0.26666666666666666,0.03450884134129911,120,0.18833333333333338,0.0294487613064397,120,0.33499999999999996,0.05703730461414757,120,0.9333333333333333,0.04481829691724231,120,0.07306365402598423,0.009045987422243789,112,0.017887843350315506,0.005197544455385983,112,0.0902955881504503,0.00965432025840565,108,0.013493395297743944,0.005346387700535974,108,241,199
ray_gpis_uncertainty_only,120,56.25169988205826,2.1909316118870708,120,50.15887415391109,2.39325891777428,120,0.26666666666666666,0.03450884134129911,120,0.18833333333333338,0.0294487613064397,120,0.33499999999999996,0.05703730461414757,120,0.9333333333333333,0.04481829691724231,120,0.0772087974089908,0.009591170614327894,112,0.011889780359780435,0.0028391176925188265,112,0.09385997534104111,0.01019073150420426,108,0.007802151139858887,0.0025405317769348046,108,241,199
ray_gpis_pointwise,120,56.534088466829296,2.226579367587335,120,50.16227991112769,2.5544154861380806,120,0.26666666666666666,0.03450884134129911,120,0.18833333333333338,0.0294487613064397,120,0.33499999999999996,0.05703730461414757,120,0.9333333333333333,0.04481829691724231,120,0.0786179325607267,0.009842808610444918,112,0.011795525895937822,0.0028412191970309457,112,0.09444609766532663,0.010376446357279,108,0.007448449531400819,0.0024243787692841976,108,241,199
ray_gpis_hit_only,120,54.32491927079749,2.190128442018132,120,48.09504902499618,2.277769656428204,120,0.26666666666666666,0.03450884134129911,120,0.18833333333333338,0.0294487613064397,120,0.33499999999999996,0.05703730461414757,120,0.9333333333333333,0.04481829691724231,120,0.075301141345206,0.009172594124638733,112,0.017013263232087007,0.0033709279946545095,112,0.09201334474198347,0.010315068912068192,108,0.013677566959513086,0.0042546049310411655,108,241,199
ray_gpis,120,56.84923766445908,2.2221648057799537,120,50.5521278264591,2.5177068063129506,120,0.26666666666666666,0.03450884134129911,120,0.18833333333333338,0.0294487613064397,120,0.33499999999999996,0.05703730461414757,120,0.9333333333333333,0.04481829691724231,120,0.07809155614541484,0.009791282135289374,112,0.011374480486291836,0.0027437176619671353,112,0.09508087246020828,0.010257979837652552,108,0.0065870824369705545,0.0022484873103118218,108,241,199
