planner,paired_scenes,f@5_auc,f@5_auc_ci95,final_f@5,final_f@5_ci95,score_gain_correlation,score_gain_correlation_ci95,oracle_regret_f@5,oracle_regret_f@5_ci95,oracle_action_accuracy,oracle_action_accuracy_ci95,consecutive_score_map_correlation,consecutive_score_map_correlation_ci95,action_repetition_rate,action_repetition_rate_ci95,planning_time_s,planning_time_s_ci95
ray_gpis,120,0.6357773273442274,0.015178043686900032,0.8319841289447548,0.012675997027347894,0.4160566243270259,0.04971286374113968,0.010757375406150033,0.0020620540984208056,0.6433333333333333,0.03968652328837781,0.7029044596217645,0.024461696652065417,0.8083333333333333,0.03964243781374946,0.13812764810167813,0.015362769981103096
ray_gpis_hit_only,120,0.619908047684964,0.015703262041900947,0.809089313998668,0.014719840753925134,0.351056624327026,0.05480440730240446,0.017423633784339452,0.0030822127883429087,0.5566666666666666,0.04405549678968131,0.5476748670547562,0.023694863521633122,0.6833333333333333,0.04737163598003384,0.13583652771611618,0.014028910872953538
ray_gpis_novelty_only,120,0.6140713425809816,0.017399972056961793,0.8081456208918353,0.018092172014820506,0.4038793103448276,0.05956342597914175,0.01796863438607329,0.0032473615196276996,0.5733333333333335,0.04496212494687681,0.522238373490172,0.038720683127809886,0.7229166666666667,0.045215140221266124,0.13529658764923322,0.01492354707530758
ray_gpis_pointwise,120,0.6364511259252925,0.015194599578927841,0.8338259695558694,0.012360172959874257,0.40916666666666673,0.04985698304320002,0.010731786817929499,0.0020590676305321212,0.64,0.03842368550572859,0.5352502974293497,0.027455160104770372,0.8083333333333333,0.03964243781374946,0.13826791563946852,0.015268982741087733
ray_gpis_uncertainty_only,120,0.6322897591922979,0.015617394366880982,0.8272361428681877,0.013880237230998134,0.39532610884545616,0.052504969708698175,0.011641829328861233,0.0022652879981779964,0.63,0.04114208760562618,0.7882406423055286,0.01922663989815602,0.8145833333333333,0.03735504117662286,0.13857124567313198,0.0151677044716789
