planner,object,initial_pose_seed,planner_seed,final_pose_coverage,pose_coverage_auc,mean_incremental_pose_novelty_deg,mean_pairwise_view_distance_deg
ray_gpis,Bowl,0,0,0.26171875,0.1484375,34.287527854589,73.04452576552724
ray_gpis,Bowl,1,0,0.1484375,0.128125,15.239725894170991,24.67204061355059
ray_gpis,Bowl,2,0,0.2578125,0.180078125,39.21697412537571,78.96729898632647
ray_gpis,Bowl,3,0,0.2734375,0.18125,43.180843281330205,57.71182561630973
ray_gpis,Bowl,4,0,0.3515625,0.218359375,55.32326255174944,98.37289639788584
ray_gpis,Bowl,5,0,0.34375,0.204296875,53.57789442311848,91.41725865557585
ray_gpis,Bowl,6,0,0.25390625,0.187890625,42.57462402790875,64.9297159368214
ray_gpis,Bowl,7,0,0.19140625,0.123828125,19.771308400849357,36.987083054028595
ray_gpis,Bowl,8,0,0.31640625,0.178125,48.30779701659265,84.9521157671953
ray_gpis,Bowl,9,0,0.23046875,0.173046875,27.968601125191434,54.72837777677888
ray_gpis,Bowl,10,0,0.26171875,0.16015625,32.791956241341275,65.14966702122594
ray_gpis,Bowl,11,0,0.28125,0.200390625,39.38129998509068,55.95590115619153
ray_gpis,Bowl,12,0,0.234375,0.1609375,36.99910432224304,81.89527138320379
ray_gpis,Bowl,13,0,0.296875,0.183203125,45.08394793803129,75.83951174391605
ray_gpis,Bowl,14,0,0.140625,0.11484375,17.991013185896897,26.455333986885606
ray_gpis,Corner,0,0,0.32421875,0.216796875,42.73484214872835,77.14027485479484
ray_gpis,Corner,1,0,0.34375,0.199609375,50.480320631023844,95.43582581308974
ray_gpis,Corner,2,0,0.37890625,0.23203125,58.44884268632743,98.14974159980362
ray_gpis,Corner,3,0,0.2734375,0.1859375,43.64456560936816,88.7026648849333
ray_gpis,Corner,4,0,0.359375,0.22265625,54.808862843466635,83.0406986084101
ray_gpis,Corner,5,0,0.34765625,0.221875,70.87228935271216,94.55438727157761
ray_gpis,Corner,6,0,0.32421875,0.202734375,57.3703620916649,103.0937267300009
ray_gpis,Corner,7,0,0.27734375,0.180859375,41.89103059499118,99.21122177028428
ray_gpis,Corner,8,0,0.36328125,0.2140625,49.67169009629731,96.8842181042294
ray_gpis,Corner,9,0,0.3203125,0.2140625,49.06087823186241,104.36328548044774
ray_gpis,Corner,10,0,0.26953125,0.1625,40.8819739046862,89.05366618594243
ray_gpis,Corner,11,0,0.31640625,0.183203125,42.82624487736948,93.9991341706828
ray_gpis,Corner,12,0,0.25390625,0.181640625,41.0863227382022,77.4108884752753
ray_gpis,Corner,13,0,0.3359375,0.21875,57.52031476222165,95.31623721783427
ray_gpis,Corner,14,0,0.33984375,0.20859375,46.47615027707345,94.0529938287391
ray_gpis,Cross,0,0,0.33203125,0.181640625,50.578591789593176,99.1272136301387
ray_gpis,Cross,1,0,0.34765625,0.228515625,57.65173360548887,100.53208863145782
ray_gpis,Cross,2,0,0.30859375,0.178515625,57.53335871714605,94.13687473344748
ray_gpis,Cross,3,0,0.36328125,0.222265625,58.88263577526832,92.60488134539784
ray_gpis,Cross,4,0,0.359375,0.21875,67.48694069564456,100.48438509047922
ray_gpis,Cross,5,0,0.2890625,0.205078125,58.332615454190716,94.10616870147591
ray_gpis,Cross,6,0,0.29296875,0.21015625,41.3103243183884,89.39217776092148
ray_gpis,Cross,7,0,0.33203125,0.2109375,49.17267131066959,73.84314117880986
ray_gpis,Cross,8,0,0.29296875,0.20703125,45.317796265462974,97.51193522194458
ray_gpis,Cross,9,0,0.375,0.223046875,64.09516115163471,102.34940535122165
ray_gpis,Cross,10,0,0.35546875,0.191796875,56.02602172362166,97.83707179985885
ray_gpis,Cross,11,0,0.34375,0.197265625,53.973121012112586,92.38825605189413
ray_gpis,Cross,12,0,0.3203125,0.225,50.969794217759684,100.5471851947325
ray_gpis,Cross,13,0,0.328125,0.2078125,50.75590618218345,95.09934797574927
ray_gpis,Cross,14,0,0.3046875,0.17734375,49.427989288824506,83.71314855841345
ray_gpis,Cube,0,0,0.3203125,0.169921875,40.418753238022106,92.17362959148338
ray_gpis,Cube,1,0,0.26953125,0.159765625,35.27381882545494,71.99970164353371
ray_gpis,Cube,2,0,0.3671875,0.20625,58.295692101193175,101.89096815337201
ray_gpis,Cube,3,0,0.3359375,0.208984375,57.12860672566442,100.3442925491641
ray_gpis,Cube,4,0,0.33984375,0.2296875,64.53812426559236,92.22647493526641
ray_gpis,Cube,5,0,0.3046875,0.176953125,42.82954030888794,77.30182513966174
ray_gpis,Cube,6,0,0.265625,0.184375,49.839482872419225,94.63075450114133
ray_gpis,Cube,7,0,0.328125,0.198046875,47.74522888036263,83.46712225324585
ray_gpis,Cube,8,0,0.33984375,0.19609375,49.16817022805921,83.06312247188718
ray_gpis,Cube,9,0,0.31640625,0.208984375,54.56296250161064,102.09933704869897
ray_gpis,Cube,10,0,0.2421875,0.14765625,36.643008894713844,85.97111466214311
ray_gpis,Cube,11,0,0.2734375,0.16484375,38.511376274405436,82.34071367421073
ray_gpis,Cube,12,0,0.30859375,0.20546875,59.60177728505808,90.73753072615182
ray_gpis,Cube,13,0,0.35546875,0.226171875,69.4631124784809,95.68403743787287
ray_gpis,Cube,14,0,0.328125,0.191015625,62.41448290206422,99.85150709649548
ray_gpis,Cylinder,0,0,0.3515625,0.233984375,57.127363821730626,88.76942978060251
ray_gpis,Cylinder,1,0,0.34765625,0.202734375,54.7043365501984,95.21108208555803
ray_gpis,Cylinder,2,0,0.32421875,0.207421875,50.63782004598174,81.12262298717727
ray_gpis,Cylinder,3,0,0.3203125,0.199609375,47.44990164129685,97.56413803248536
ray_gpis,Cylinder,4,0,0.32421875,0.19140625,54.35612827031609,99.63973962114643
ray_gpis,Cylinder,5,0,0.3359375,0.20859375,53.9310180576349,97.71977117763292
ray_gpis,Cylinder,6,0,0.33984375,0.210546875,54.095015248856534,102.34594876355966
ray_gpis,Cylinder,7,0,0.359375,0.220703125,58.99755197070764,92.68495585147525
ray_gpis,Cylinder,8,0,0.38671875,0.228125,63.98213937339094,102.0827386408541
ray_gpis,Cylinder,9,0,0.3125,0.1703125,55.968336290699526,88.06889929441195
ray_gpis,Cylinder,10,0,0.35546875,0.20703125,61.42458023953994,95.29666348209734
ray_gpis,Cylinder,11,0,0.30859375,0.184375,49.60588987865605,95.71340067996157
ray_gpis,Cylinder,12,0,0.26953125,0.168359375,43.096332574997625,88.43470916408215
ray_gpis,Cylinder,13,0,0.2890625,0.16875,56.051657086099894,97.94328585431957
ray_gpis,Cylinder,14,0,0.296875,0.158984375,58.18705601698633,97.7968921210251
ray_gpis,L_Shaped,0,0,0.296875,0.182421875,52.1144097717023,92.34132505519054
ray_gpis,L_Shaped,1,0,0.29296875,0.190234375,40.97121904025183,84.38513540725968
ray_gpis,L_Shaped,2,0,0.28125,0.15546875,35.651151264744044,63.95976033974004
ray_gpis,L_Shaped,3,0,0.30078125,0.15625,40.6517500059509,73.53450237024997
ray_gpis,L_Shaped,4,0,0.25,0.192578125,42.24654079954249,81.1883787614468
ray_gpis,L_Shaped,5,0,0.30859375,0.191015625,38.44559743459977,80.2079811847207
ray_gpis,L_Shaped,6,0,0.31640625,0.173828125,45.131332425556195,78.44362637577929
ray_gpis,L_Shaped,7,0,0.3203125,0.203125,41.85181585995603,71.20825072731505
ray_gpis,L_Shaped,8,0,0.31640625,0.193359375,41.372782401799455,76.32139352872555
ray_gpis,L_Shaped,9,0,0.3515625,0.203125,52.07907412705363,92.65871008613746
ray_gpis,L_Shaped,10,0,0.33984375,0.204296875,49.159914920663496,86.76007861320045
ray_gpis,L_Shaped,11,0,0.3671875,0.231640625,66.62668438418896,100.37470198259332
ray_gpis,L_Shaped,12,0,0.32421875,0.190234375,51.040379273279754,101.37079478552347
ray_gpis,L_Shaped,13,0,0.2265625,0.14921875,24.155046567428883,53.172983569315384
ray_gpis,L_Shaped,14,0,0.38671875,0.230078125,63.31538072490248,102.30210015509172
ray_gpis,Thin_Irregular,0,0,0.34375,0.179296875,58.59392083891407,96.68965387801333
ray_gpis,Thin_Irregular,1,0,0.3984375,0.230859375,70.65229272778981,100.94812775545712
ray_gpis,Thin_Irregular,2,0,0.39453125,0.2328125,59.95027882623541,100.17460092536048
ray_gpis,Thin_Irregular,3,0,0.29296875,0.191796875,49.663866127323885,97.60070448152688
ray_gpis,Thin_Irregular,4,0,0.328125,0.20546875,53.857250808498804,101.45895888038346
ray_gpis,Thin_Irregular,5,0,0.33203125,0.18671875,40.74455656081683,86.1660637740879
ray_gpis,Thin_Irregular,6,0,0.31640625,0.189453125,50.50080822647859,103.20985591310954
ray_gpis,Thin_Irregular,7,0,0.3203125,0.184375,45.931675121832214,82.71197605773243
ray_gpis,Thin_Irregular,8,0,0.28515625,0.1765625,37.936664906610055,87.16480753848278
ray_gpis,Thin_Irregular,9,0,0.41015625,0.24296875,73.17747689450528,101.38197758969842
ray_gpis,Thin_Irregular,10,0,0.296875,0.181640625,35.44309052944553,70.1956210848501
ray_gpis,Thin_Irregular,11,0,0.3203125,0.1859375,45.394567308908506,75.50404412011821
ray_gpis,Thin_Irregular,12,0,0.3125,0.209765625,54.65507651399979,103.57864369977379
ray_gpis,Thin_Irregular,13,0,0.34765625,0.215625,54.46382977052897,84.06832372468772
ray_gpis,Thin_Irregular,14,0,0.33203125,0.2078125,61.19679377069615,96.95372395055723
ray_gpis,green_Pepper,0,0,0.30859375,0.199609375,62.94505609772502,93.43276402930539
ray_gpis,green_Pepper,1,0,0.2890625,0.174609375,47.14022094788261,87.96222864757145
ray_gpis,green_Pepper,2,0,0.328125,0.207421875,51.62202636334037,86.24302434804609
ray_gpis,green_Pepper,3,0,0.41015625,0.23828125,61.96810502625076,103.40585850909578
ray_gpis,green_Pepper,4,0,0.33203125,0.211328125,52.47640848178658,102.04742869749498
ray_gpis,green_Pepper,5,0,0.296875,0.2109375,54.48884130492455,95.06834582352889
ray_gpis,green_Pepper,6,0,0.3125,0.20390625,47.60314984199144,99.56227180321585
ray_gpis,green_Pepper,7,0,0.31640625,0.21796875,51.0863081474988,96.86104396154795
ray_gpis,green_Pepper,8,0,0.36328125,0.221484375,56.12133935568711,95.59344109144676
ray_gpis,green_Pepper,9,0,0.2890625,0.18125,47.81643683773482,81.22767800586605
ray_gpis,green_Pepper,10,0,0.25390625,0.134765625,38.99040196972785,72.33304159794345
ray_gpis,green_Pepper,11,0,0.37109375,0.226171875,64.64357027024107,99.28309595538752
ray_gpis,green_Pepper,12,0,0.33203125,0.206640625,58.30305856772882,101.50126897651474
ray_gpis,green_Pepper,13,0,0.34375,0.20078125,53.98528113060288,102.41976727592125
ray_gpis,green_Pepper,14,0,0.33203125,0.2015625,55.47826477041396,101.97997449242072
ray_gpis_hit_only,Bowl,0,0,0.26171875,0.1484375,34.287527854589,73.04452576552724
ray_gpis_hit_only,Bowl,1,0,0.18359375,0.147265625,20.51576758443775,34.8862478373242
ray_gpis_hit_only,Bowl,2,0,0.27734375,0.19453125,44.73114753638217,92.32205582724104
ray_gpis_hit_only,Bowl,3,0,0.3046875,0.2046875,44.99374768170229,57.17451952971115
ray_gpis_hit_only,Bowl,4,0,0.3203125,0.215234375,49.38399940011796,92.87081100744244
ray_gpis_hit_only,Bowl,5,0,0.3046875,0.179296875,37.59313296954305,65.66471910216016
ray_gpis_hit_only,Bowl,6,0,0.234375,0.17421875,37.27061588904455,62.95110316754522
ray_gpis_hit_only,Bowl,7,0,0.2421875,0.13359375,34.91393633445106,54.58976708730358
ray_gpis_hit_only,Bowl,8,0,0.25,0.137890625,35.975410948613295,49.62715491231825
ray_gpis_hit_only,Bowl,9,0,0.21875,0.171875,26.44952633901205,53.459629124937386
ray_gpis_hit_only,Bowl,10,0,0.27734375,0.16484375,48.777369995292005,95.18357386965808
ray_gpis_hit_only,Bowl,11,0,0.24609375,0.1859375,31.88134017296784,59.84991912524171
ray_gpis_hit_only,Bowl,12,0,0.234375,0.1609375,36.99910432224304,81.89527138320379
ray_gpis_hit_only,Bowl,13,0,0.24609375,0.1453125,33.35933449218089,77.20107924511596
ray_gpis_hit_only,Bowl,14,0,0.125,0.115625,16.27674163018569,17.701105124748462
ray_gpis_hit_only,Corner,0,0,0.32421875,0.216796875,42.73484214872835,77.14027485479484
ray_gpis_hit_only,Corner,1,0,0.34375,0.199609375,50.480320631023844,95.43582581308974
ray_gpis_hit_only,Corner,2,0,0.37890625,0.23203125,58.44884268632743,98.14974159980362
ray_gpis_hit_only,Corner,3,0,0.2734375,0.1859375,43.64456560936816,88.7026648849333
ray_gpis_hit_only,Corner,4,0,0.35546875,0.214453125,53.410830486363025,82.29470050431425
ray_gpis_hit_only,Corner,5,0,0.3046875,0.199609375,51.92544930424926,99.62983126612114
ray_gpis_hit_only,Corner,6,0,0.30859375,0.189453125,52.09656656721579,98.75853402791306
ray_gpis_hit_only,Corner,7,0,0.25,0.1609375,35.29041352094991,75.0631356232298
ray_gpis_hit_only,Corner,8,0,0.36328125,0.2140625,49.67169009629731,96.8842181042294
ray_gpis_hit_only,Corner,9,0,0.3203125,0.2140625,49.06087823186241,104.36328548044774
ray_gpis_hit_only,Corner,10,0,0.26953125,0.1625,40.8819739046862,89.05366618594243
ray_gpis_hit_only,Corner,11,0,0.328125,0.184375,44.72143817591151,86.99313922883955
ray_gpis_hit_only,Corner,12,0,0.26171875,0.180859375,35.68823600593791,77.26631652126986
ray_gpis_hit_only,Corner,13,0,0.3359375,0.21875,57.52031476222165,95.31623721783427
ray_gpis_hit_only,Corner,14,0,0.3359375,0.212109375,47.26803301134271,91.76676628415024
ray_gpis_hit_only,Cross,0,0,0.33203125,0.181640625,50.578591789593176,99.1272136301387
ray_gpis_hit_only,Cross,1,0,0.34765625,0.228515625,57.65173360548887,100.53208863145782
ray_gpis_hit_only,Cross,2,0,0.30859375,0.178515625,57.53335871714605,94.13687473344748
ray_gpis_hit_only,Cross,3,0,0.36328125,0.222265625,58.88263577526832,92.60488134539784
ray_gpis_hit_only,Cross,4,0,0.34375,0.2046875,55.23900796361627,95.49223475482172
ray_gpis_hit_only,Cross,5,0,0.2890625,0.205078125,58.332615454190716,94.10616870147591
ray_gpis_hit_only,Cross,6,0,0.2890625,0.209765625,41.999010841972094,86.85289278288846
ray_gpis_hit_only,Cross,7,0,0.33984375,0.203125,47.90208832094624,70.69760926766294
ray_gpis_hit_only,Cross,8,0,0.3515625,0.212890625,58.38384986419793,104.10427791271348
ray_gpis_hit_only,Cross,9,0,0.328125,0.180078125,44.75471101985654,95.51158518516624
ray_gpis_hit_only,Cross,10,0,0.33984375,0.187890625,52.72206109430645,97.16302609666197
ray_gpis_hit_only,Cross,11,0,0.34375,0.197265625,53.973121012112586,92.38825605189413
ray_gpis_hit_only,Cross,12,0,0.328125,0.22421875,51.428134409794815,99.85427034416772
ray_gpis_hit_only,Cross,13,0,0.3515625,0.21015625,56.52380150566953,94.5704962892841
ray_gpis_hit_only,Cross,14,0,0.296875,0.17578125,50.90575480487123,81.51043163809275
ray_gpis_hit_only,Cube,0,0,0.3203125,0.169921875,40.418753238022106,92.17362959148338
ray_gpis_hit_only,Cube,1,0,0.25,0.1578125,31.026201752266832,62.87832382874157
ray_gpis_hit_only,Cube,2,0,0.32421875,0.201953125,48.438512588684326,98.34740608698179
ray_gpis_hit_only,Cube,3,0,0.3359375,0.208984375,57.12860672566442,100.3442925491641
ray_gpis_hit_only,Cube,4,0,0.3359375,0.223828125,60.47092172028023,89.24944719381921
ray_gpis_hit_only,Cube,5,0,0.3046875,0.176953125,42.82954030888794,77.30182513966174
ray_gpis_hit_only,Cube,6,0,0.30078125,0.197265625,58.59771682723526,101.16674726906622
ray_gpis_hit_only,Cube,7,0,0.3359375,0.200390625,45.75891038970243,70.97369163701788
ray_gpis_hit_only,Cube,8,0,0.33984375,0.19609375,49.16817022805921,83.06312247188718
ray_gpis_hit_only,Cube,9,0,0.31640625,0.208984375,54.56296250161064,102.09933704869897
ray_gpis_hit_only,Cube,10,0,0.2421875,0.14765625,36.643008894713844,85.97111466214311
ray_gpis_hit_only,Cube,11,0,0.27734375,0.166015625,40.074815535703486,82.27726611011687
ray_gpis_hit_only,Cube,12,0,0.30859375,0.20546875,59.60177728505808,90.73753072615182
ray_gpis_hit_only,Cube,13,0,0.35546875,0.226171875,69.4631124784809,95.68403743787287
ray_gpis_hit_only,Cube,14,0,0.328125,0.191015625,62.41448290206422,99.85150709649548
ray_gpis_hit_only,Cylinder,0,0,0.3515625,0.233984375,57.127363821730626,88.76942978060251
ray_gpis_hit_only,Cylinder,1,0,0.26953125,0.169140625,33.9252344994224,60.886127164502945
ray_gpis_hit_only,Cylinder,2,0,0.33203125,0.208984375,50.174412449545336,82.94901111320019
ray_gpis_hit_only,Cylinder,3,0,0.34765625,0.20234375,51.953240317661276,98.07772805161711
ray_gpis_hit_only,Cylinder,4,0,0.31640625,0.1875,47.768974983148226,94.9887223666435
ray_gpis_hit_only,Cylinder,5,0,0.37890625,0.212890625,62.48670916631156,100.93583544036167
ray_gpis_hit_only,Cylinder,6,0,0.26953125,0.184765625,46.39802135640157,97.2868814882992
ray_gpis_hit_only,Cylinder,7,0,0.30859375,0.18671875,42.73474332905663,66.7825751121161
ray_gpis_hit_only,Cylinder,8,0,0.3515625,0.224609375,55.93815319981977,100.62205025980205
ray_gpis_hit_only,Cylinder,9,0,0.23828125,0.145703125,27.78924377463993,54.15629540795794
ray_gpis_hit_only,Cylinder,10,0,0.35546875,0.19765625,60.78497541823633,100.23358595185952
ray_gpis_hit_only,Cylinder,11,0,0.30859375,0.184375,49.60588987865605,95.71340067996157
ray_gpis_hit_only,Cylinder,12,0,0.234375,0.16484375,38.89212258269232,83.70323188381927
ray_gpis_hit_only,Cylinder,13,0,0.296875,0.171875,46.59358335229179,88.8628685751366
ray_gpis_hit_only,Cylinder,14,0,0.2734375,0.143359375,45.23570631999248,90.00854747014745
ray_gpis_hit_only,L_Shaped,0,0,0.296875,0.182421875,52.1144097717023,92.34132505519054
ray_gpis_hit_only,L_Shaped,1,0,0.29296875,0.190234375,40.97121904025183,84.38513540725968
ray_gpis_hit_only,L_Shaped,2,0,0.28125,0.15546875,35.651151264744044,63.95976033974004
ray_gpis_hit_only,L_Shaped,3,0,0.3125,0.157421875,38.49216231287748,81.3616904669718
ray_gpis_hit_only,L_Shaped,4,0,0.25,0.192578125,42.24654079954249,81.1883787614468
ray_gpis_hit_only,L_Shaped,5,0,0.25,0.16484375,29.163160296565422,57.726186720680225
ray_gpis_hit_only,L_Shaped,6,0,0.28125,0.16796875,36.034553678643476,57.99999115161527
ray_gpis_hit_only,L_Shaped,7,0,0.34765625,0.208984375,46.33015244079967,83.3149084807696
ray_gpis_hit_only,L_Shaped,8,0,0.31640625,0.193359375,41.372782401799455,76.32139352872555
ray_gpis_hit_only,L_Shaped,9,0,0.3515625,0.203125,52.07907412705363,92.65871008613746
ray_gpis_hit_only,L_Shaped,10,0,0.2890625,0.18515625,37.09494737708265,55.320301306906764
ray_gpis_hit_only,L_Shaped,11,0,0.34375,0.205859375,60.686780976971455,92.47107150633964
