first_planner,second_planner,metric,second_minus_first,ci95,valid_pairs
ray_gpis_uncertainty_only,ray_gpis_hit_only,mean_nominal_target_view_error_deg,-2.063825128914931,1.6957882115696032,120
ray_gpis_uncertainty_only,ray_gpis_hit_only,stall_action_rate,0.0,0.0,120
ray_gpis_uncertainty_only,ray_gpis_hit_only,slip_action_rate,0.0,0.0,120
ray_gpis_uncertainty_only,ray_gpis_hit_only,persistent_misalignment_action_rate,0.0,0.0,120
ray_gpis_uncertainty_only,ray_gpis_hit_only,episode_stall_or_slip_rate,0.0,0.0,120
ray_gpis_uncertainty_only,ray_gpis_hit_only,fault_action_gain_f@5,-0.001907656063784802,0.0027629575102220885,112
ray_gpis_uncertainty_only,ray_gpis_hit_only,fault_action_regret_f@5,0.005123482872306574,0.0029035822682667903,112
ray_gpis_uncertainty_only,ray_gpis_hit_only,post_fault_next_gain_f@5,-0.0018466305990576415,0.005184827374122676,108
ray_gpis_uncertainty_only,ray_gpis_hit_only,post_fault_next_regret_f@5,0.005875415819654197,0.0047150933546741,108
ray_gpis_uncertainty_only,ray_gpis,mean_action_so3_error_deg,0.5975377824008156,0.9643751697276683,120
ray_gpis_uncertainty_only,ray_gpis,mean_nominal_target_view_error_deg,0.3932536725479957,1.181745617656313,120
ray_gpis_uncertainty_only,ray_gpis,stall_action_rate,0.0,0.0,120
ray_gpis_uncertainty_only,ray_gpis,slip_action_rate,0.0,0.0,120
ray_gpis_uncertainty_only,ray_gpis,persistent_misalignment_action_rate,0.0,0.0,120
ray_gpis_uncertainty_only,ray_gpis,episode_stall_or_slip_rate,0.0,0.0,120
ray_gpis_uncertainty_only,ray_gpis,fault_action_gain_f@5,0.0008827587364240392,0.0016932621368449523,112
ray_gpis_uncertainty_only,ray_gpis,fault_action_regret_f@5,-0.0005152998734885986,0.001394390365778027,112
ray_gpis_uncertainty_only,ray_gpis,post_fault_next_gain_f@5,0.0012208971191671669,0.002053285618578304,108
ray_gpis_uncertainty_only,ray_gpis,post_fault_next_regret_f@5,-0.001215068702888332,0.001756267594140925,108
ray_gpis_pointwise,ray_gpis_hit_only,mean_action_so3_error_deg,-2.2091691960318047,1.4623896097747215,120
ray_gpis_pointwise,ray_gpis_hit_only,mean_nominal_target_view_error_deg,-2.0672308861315214,1.6305695055973017,120
ray_gpis_pointwise,ray_gpis_hit_only,stall_action_rate,0.0,0.0,120
ray_gpis_pointwise,ray_gpis_hit_only,slip_action_rate,0.0,0.0,120
ray_gpis_pointwise,ray_gpis_hit_only,persistent_misalignment_action_rate,0.0,0.0,120
ray_gpis_pointwise,ray_gpis_hit_only,episode_stall_or_slip_rate,0.0,0.0,120
ray_gpis_pointwise,ray_gpis_hit_only,fault_action_gain_f@5,-0.0033167912155207054,0.003205077519005292,112
ray_gpis_pointwise,ray_gpis_hit_only,fault_action_regret_f@5,0.0052177373361491875,0.003270841829359113,112
ray_gpis_pointwise,ray_gpis_hit_only,post_fault_next_gain_f@5,-0.002432752923343153,0.00563312332260142,108
ray_gpis_pointwise,ray_gpis_hit_only,post_fault_next_regret_f@5,0.006229117428112266,0.004489897872255432,108
ray_gpis_pointwise,ray_gpis,mean_action_so3_error_deg,0.31514919762978394,0.5489154690547553,120
ray_gpis_pointwise,ray_gpis,mean_nominal_target_view_error_deg,0.3898479153314056,0.5374712825183964,120
ray_gpis_pointwise,ray_gpis,stall_action_rate,0.0,0.0,120
ray_gpis_pointwise,ray_gpis,slip_action_rate,0.0,0.0,120
ray_gpis_pointwise,ray_gpis,persistent_misalignment_action_rate,0.0,0.0,120
